Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,45317.11429
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,8569.776998
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,34361.08022
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,3687.763767
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,744.6823178
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,611.4384267
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,4031.532007
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,830.1148117
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2242.707459
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,40247.36691
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,14201.44883
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,52473.11356
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1573.118089
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3491.595887
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,5540.984136
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,6703.074737
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,55899.16348
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,89941.64429
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,37539.95182
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,35396.66572
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4855.800481
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,38096.21151
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4066.940775
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,12806.56511
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1335.06458
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1619.342566
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,27811.36638
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4054.721339
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,42996.40812
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1279.769783
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2017.587781
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,15758.52974
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8536.682494
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1218.466106
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,458.4651734
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,179308.0756
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,16554.97139
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,119225.38
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,94004.38983
"Macedonia, FYR",MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,5469.217898
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,452.4631926
